iter	Passed	Remaining
816	941590	210907
817	942658	209735
818	944004	208626
819	945054	207451
820	945864	206223
821	947257	205123
822	948622	204017
823	949785	202866
824	950629	201648
825	951687	200476
826	953186	199396
827	954164	198208
828	955103	197011
829	956216	195851
830	956984	194621
831	958000	193442
832	959366	192333
833	960479	191174
834	961367	189970
835	962489	188813
836	963555	187645
837	964687	186490
838	965794	185331
839	966881	184167
840	968092	183028
841	968810	181795
842	969770	180609
843	971097	179491
844	972096	178313
845	972976	177113
846	974364	176006
847	975658	174882
848	976795	173729
849	977950	172579
850	979091	171427
851	980178	170265
852	981378	169123
853	982688	168000
854	983791	166841
855	985061	165711
856	986665	164636
857	988148	163539
858	989151	162363
859	989975	161158
860	990981	159984
861	992340	158866
862	993637	157738
863	994591	156556
864	995986	155443
865	997063	154279
866	998370	153152
867	999497	151997
868	1000436	150813
869	1001389	149632
870	1002777	148516
871	1003895	147360
872	1005327	146250
873	1006192	145057
874	1007210	143887
875	1008058	142693
876	1009447	141575
877	1010558	140419
878	1011557	139247
879	1012413	138056
880	1013752	136931
881	1015076	135803
882	1016275	134659
883	1017646	133537
884	1018532	132351
885	1019586	131188
886	1020559	130014
887	1021723	128866
888	1022673	127690
889	1023539	126504
890	1024495	125331
891	1025496	124163
892	1026423	122986
893	1027350	121811
894	1028131	120618
895	1029107	119450
896	1030119	118285
897	1031144	117123
898	1031910	115932
899	1032902	114766
900	1034193	113635
901	1035025	112452
902	1035959	111282
903	1036884	110111
904	1037649	108924
905	1038726	107770
906	1039632	106599
907	1040681	105443
908	1041740	104288
909	1042876	103141
910	1043691	101963
911	1044729	100807
912	1045915	99665
913	1046888	98503
914	1048100	97364
915	1048899	96187
916	1049698	95010
917	1050558	93840
918	1051654	92692
919	1052555	91526
920	1053631	90376
921	1054884	89241
922	1056046	88099
923	1056844	86926
924	1057915	85776
925	1058861	84617
926	1060086	83480
927	1061072	82324
928	1062202	81180
929	1062905	80003
930	1063961	78854
931	1065159	77715
932	1066497	76586
933	1067547	75437
934	1068712	74295
935	1069571	73133
936	1070738	71992
937	1071949	70853
938	1072754	69689
939	1073799	68540
940	1074744	67385
941	1075635	66228
942	1077091	65105
943	1078360	63970
944	1079696	62839
945	1080695	61688
946	1081449	60524
947	1082949	59402
948	1083776	58243
949	1084903	57100
950	1085640	55937
951	1086447	54778
952	1087531	53634
953	1088556	52488
954	1089517	51338
955	1090440	50187
956	1091130	49026
957	1092049	47876
958	1092811	46720
959	1093800	45575
960	1094757	44428
961	1095674	43280
962	1096934	42145
963	1098116	41008
964	1099008	39860
965	1100177	38722
966	1101072	37575
967	1102246	36437
